Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vap Pres (mBars),qc,Air Temp (F),qc,Rel Hum (%),qc,Dew Point (F),qc,Wind Speed (mph),qc,Wind Dir (0-360),qc,Soil Temp (F),qc
47,Brentwood,San Francisco Bay,12/1/2020,0100,336,0.00, ,0.00, ,0, ,5.7, ,42.5, ,62, ,30.3, ,2.2, ,239, ,49.3, 
47,Brentwood,San Francisco Bay,12/1/2020,0200,336,0.00, ,0.00, ,0, ,5.2, ,40.2, ,62, ,28.1, ,3.0, ,245, ,48.8, 
47,Brentwood,San Francisco Bay,12/1/2020,0300,336,0.00, ,0.00, ,0, ,5.0, ,38.6, ,63, ,27.0, ,2.0, ,245, ,48.4, 
47,Brentwood,San Francisco Bay,12/1/2020,0400,336,0.00, ,0.00, ,0, ,5.1, ,39.0, ,63, ,27.6, ,2.0, ,215, ,48.0, 
47,Brentwood,San Francisco Bay,12/1/2020,0500,336,0.00, ,0.00, ,0, ,5.5, ,42.7, ,59, ,29.3, ,3.4, ,262, ,47.6, 
47,Brentwood,San Francisco Bay,12/1/2020,0600,336,0.00, ,0.00, ,0, ,6.1, ,45.7, ,58, ,31.8, ,4.6, ,281, ,47.2, 
47,Brentwood,San Francisco Bay,12/1/2020,0700,336,0.00, ,0.00, ,2, ,6.2, ,46.1, ,59, ,32.5, ,4.4, ,250, ,46.9, 
47,Brentwood,San Francisco Bay,12/1/2020,0800,336,0.00, ,0.00, ,114, ,6.2, ,45.4, ,60, ,32.4, ,5.1, ,268, ,46.7, 
47,Brentwood,San Francisco Bay,12/1/2020,0900,336,0.00, ,0.00, ,407, ,6.9, ,51.7, ,53, ,34.9, ,4.8, ,263, ,46.6, 
47,Brentwood,San Francisco Bay,12/1/2020,1000,336,0.01, ,0.00, ,712, ,6.8, ,58.0, ,41, ,34.7, ,6.5, ,318, ,46.9, 
47,Brentwood,San Francisco Bay,12/1/2020,1100,336,0.01, ,0.00, ,942, ,6.6, ,60.3, ,37, ,34.0, ,9.0, ,317, ,47.6, 
47,Brentwood,San Francisco Bay,12/1/2020,1200,336,0.01, ,0.00, ,1054, ,6.6, ,62.0, ,35, ,34.0, ,8.1, ,329, ,48.7, 
47,Brentwood,San Francisco Bay,12/1/2020,1300,336,0.01, ,0.00, ,1047, ,6.9, ,64.4, ,33, ,35.1, ,5.5, ,335, ,49.9, 
47,Brentwood,San Francisco Bay,12/1/2020,1400,336,0.01, ,0.00, ,923, ,6.8, ,64.7, ,33, ,34.7, ,4.6, ,303, ,51.0, 
47,Brentwood,San Francisco Bay,12/1/2020,1500,336,0.01, ,0.00, ,687, ,6.6, ,67.4, ,29, ,34.0, ,4.5, ,333, ,51.9, 
47,Brentwood,San Francisco Bay,12/1/2020,1600,336,0.01, ,0.00, ,370, ,6.8, ,66.2, ,31, ,34.6, ,5.4, ,22, ,52.6, 
47,Brentwood,San Francisco Bay,12/1/2020,1700,336,0.00, ,0.00, ,64, ,6.5, ,61.9, ,34, ,33.5, ,3.0, ,31, ,53.0, 
47,Brentwood,San Francisco Bay,12/1/2020,1800,336,0.00, ,0.00, ,1, ,6.1, ,56.4, ,39, ,31.8, ,1.4, ,163, ,53.0, 
47,Brentwood,San Francisco Bay,12/1/2020,1900,336,0.00, ,0.00, ,0, ,5.5, ,51.4, ,42, ,29.4, ,2.6, ,225, ,52.7, 
47,Brentwood,San Francisco Bay,12/1/2020,2000,336,0.00, ,0.00, ,0, ,5.3, ,46.8, ,48, ,28.4, ,2.8, ,278, ,52.2, 
47,Brentwood,San Francisco Bay,12/1/2020,2100,336,0.00, ,0.00, ,0, ,5.7, ,46.3, ,53, ,30.2, ,2.7, ,295, ,51.6, 
47,Brentwood,San Francisco Bay,12/1/2020,2200,336,0.00, ,0.00, ,0, ,5.5, ,44.1, ,56, ,29.6, ,2.4, ,277, ,51.0, 
47,Brentwood,San Francisco Bay,12/1/2020,2300,336,0.00, ,0.00, ,0, ,4.9, ,42.0, ,54, ,26.5, ,3.4, ,183, ,50.4, 
