Date,ET,PCP,SR,VP,AT,RH,DPT,WD,ST,WS
2021-06-01 01:00:00,0.0,0.0,0,12.2,67.6,53.0,49.8,316,78.6,1.207008
2021-06-01 02:00:00,0.0,0.0,0,12.7,65.3,60.0,50.9,320,77.5,1.609344
2021-06-01 03:00:00,0.0,0.0,0,14.3,62.5,74.0,54.2,357,76.6,1.296416
2021-06-01 04:00:00,0.0,0.0,0,16.7,58.8,99.0,58.5,44,75.7,0.89408
2021-06-01 05:00:00,0.0,0.0,8,16.2,58.3,97.0,57.6,334,74.8,1.028192
2021-06-01 06:00:00,0.0,0.0,169,18.0,62.1,95.0,60.6,313,74.0,1.8328639999999998
2021-06-01 07:00:00,0.01,0.0,512,18.5,67.9,79.0,61.3,316,73.3,1.654048
2021-06-01 08:00:00,0.01,0.0,905,16.0,72.3,59.0,57.3,44,72.9,1.1176
2021-06-01 09:00:00,0.02,0.0,1269,15.8,75.5,53.0,56.9,50,73.1,1.8328639999999998
2021-06-01 10:00:00,0.02,0.0,1562,16.4,79.8,47.0,57.9,40,74.1,2.101088
2021-06-01 11:00:00,0.03,0.0,1768,16.5,86.4,38.0,58.1,7,75.7,2.01168
2021-06-01 12:00:00,0.03,0.0,1879,17.3,89.3,37.0,59.4,18,77.8,2.369312
2021-06-01 13:00:00,0.03,0.0,1892,17.2,91.9,34.0,59.3,51,80.2,1.78816
2021-06-01 14:00:00,0.03,0.0,1805,16.8,95.4,29.0,58.5,3,82.6,2.190496
2021-06-01 15:00:00,0.03,0.0,1631,13.2,98.4,21.0,51.9,320,84.5,3.442208
2021-06-01 16:00:00,0.03,0.0,1325,13.6,96.5,23.0,52.8,310,85.6,4.783328
2021-06-01 17:00:00,0.02,0.0,1005,11.7,95.0,21.0,48.8,295,85.8,4.783328
2021-06-01 18:00:00,0.01,0.0,607,11.7,92.0,23.0,48.8,294,85.7,3.79984
2021-06-01 19:00:00,0.01,0.0,243,12.3,86.0,29.0,50.1,288,85.3,3.442208
2021-06-01 20:00:00,0.0,0.0,24,11.1,81.2,31.0,47.3,267,84.6,3.3975039999999996
2021-06-01 21:00:00,0.0,0.0,0,10.9,78.6,33.0,46.9,262,83.8,3.173984
2021-06-01 22:00:00,0.0,0.0,0,12.9,69.2,53.0,51.3,347,82.8,1.8775680000000001
2021-06-01 23:00:00,0.0,0.0,0,12.5,66.3,57.0,50.5,347,81.7,1.743456
